Sample_ID,Paper_ID,Paper_Title,DOI,Year,Source_PDF,Composition_Formula,Base_LMFP_Composition,Full_Doped_Composition,Mn_Ratio,Fe_Ratio,Dopant_Element,Dopant_Count,Dopant_Molar_Ratio,Dopant_x_per_fu,Carbon_wt_percent,Synthesis_Method,Calcination_Temp_1_C,Calcination_Time_1_h,Discharge_Capacity_0_05C_mAh_g,Discharge_Capacity_0_1C_mAh_g,Discharge_Capacity_1C_mAh_g,Discharge_Capacity_2C_mAh_g,Discharge_Capacity_5C_mAh_g,Initial_Coulombic_Efficiency_percent,Cycle_Life_cycles,Capacity_Retention_percent,EIS_R_ct_before_Ohm,EIS_R_ct_after_Ohm,Li_Diffusion_Coefficient_cm2_s,XRD_Phase_Purity,Remarks,Impurity_Phase_Identified,Evidence,Calculated_Molar_Mass,Calculated_Q_M2,Calculated_Li_Stoichiometry,Calculated_Li_Vacancy_delta,Calculated_S_config_over_R,Calculated_Theoretical_Capacity_Metric,Record_Classification
P3_T2_Row1_Sample_1,P3_T2_Row1,Lithium manganese iron phosphate (LiMn1_yFeyPO4) rechargeable batteries: bridging material innovation with practical cell design,10.20517/energymater.2025.29,2025,"Lithium manganese iron phosphate materials_ Design, progress, and challenges.pdf",LiMn0.85Fe0.15PO4/C (LCO coated),,,0.85,0.15,None/Undoped,0,,,,,,,,130,,,,93.0,300,85,,,Coated with an LCO layer on active particles.,,,,Table 2,156.9848,2.0,1.0,0.0,0.4227,170.73,LITERATURE_REPORTED
P3_T2_Row2_Sample_1,P3_T2_Row2,Lithium manganese iron phosphate (LiMn1_yFeyPO4) rechargeable batteries: bridging material innovation with practical cell design,10.20517/energymater.2025.29,2025,"Lithium manganese iron phosphate materials_ Design, progress, and challenges.pdf",LiMn0.8Fe0.2PO4/C (Si-F treated),,,0.8,0.2,None/Undoped,0,,,,,,,,132,,,,86.0,450,89,,,Silicon-fluoride treated configuration.,,,,Table 2,157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P3_T2_Row3_Sample_1,P3_T2_Row3,Lithium manganese iron phosphate (LiMn1_yFeyPO4) rechargeable batteries: bridging material innovation with practical cell design,10.20517/energymater.2025.29,2025,"Lithium manganese iron phosphate materials_ Design, progress, and challenges.pdf",LiMn0.8Fe0.2PO4/C (paired with LTO),,,0.8,0.2,None/Undoped,0,,,,,,,,153,,,,90.0,100,96,,,Paired with Lithium Titanate (LTO) anode at 30 C.,,,,Table 2,157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P4_Row1_Sample_1,P4_Row1,Freeze-Drying-Assisted Preparation of High-Compaction-Density LiMn0.69C00.01Fe0.3PO4 Cathode Materials with High-Capacity and Long Life-Cycle for Lithium Ion Batteries,10.3390/batteries10040114,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.69Co0.01Fe0.3PO4/C (LMFP-M1/C),,,0.69,0.3,Co,1,0.01,0.01,2.0,Solvothermal + Freeze Drying,,,,164,151.8,148.1,143.6,,200,Stable life,,,Precursor un-calcined before carbon synthesis.,,,,Table 1 / Main Text,157.1609,2.0,1.0,0.0,0.6633,170.54,LITERATURE_REPORTED
P4_Row2_Sample_1,P4_Row2,Freeze-Drying-Assisted Preparation of High-Compaction-Density LiMn0.69C00.01Fe0.3PO4 Cathode Materials with High-Capacity and Long Life-Cycle for Lithium Ion Batteries,10.3390/batteries10040114,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.69Co0.01Fe0.3PO4/C (LMFP-400/C),,,0.69,0.3,Co,1,0.01,0.01,2.0,Solvothermal + Freeze Drying,400.0,4.0,,164.2,146.5,143.3,134.6,,,,,,Intermediate calcination at 400 °C. Compaction density 2.18 g/cm3.,,,,Table 1 / Main Text,157.1609,2.0,1.0,0.0,0.6633,170.54,LITERATURE_REPORTED
P4_Row3_Sample_1,P4_Row3,Freeze-Drying-Assisted Preparation of High-Compaction-Density LiMn0.69C00.01Fe0.3PO4 Cathode Materials with High-Capacity and Long Life-Cycle for Lithium Ion Batteries,10.3390/batteries10040114,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.69Co0.01Fe0.3PO4/C (LMFP-450/C),,,0.69,0.3,Co,1,0.01,0.01,2.0,Solvothermal + Freeze Drying,450.0,4.0,,165,142.3,137.3,126.7,,,,,,Intermediate calcination at 450 °C. Compaction density 2.27 g/cm3.,,,,Table 1 / Main Text,157.1609,2.0,1.0,0.0,0.6633,170.54,LITERATURE_REPORTED
P4_Row4_Sample_1,P4_Row4,Freeze-Drying-Assisted Preparation of High-Compaction-Density LiMn0.69C00.01Fe0.3PO4 Cathode Materials with High-Capacity and Long Life-Cycle for Lithium Ion Batteries,10.3390/batteries10040114,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.69Co0.01Fe0.3PO4/C (LMFP-500/C),,,0.69,0.3,Co,1,0.01,0.01,2.0,Solvothermal + Freeze Drying,500.0,4.0,,166.2,139.5,133.8,122.2,,800,90,,Optimal configuration. Compaction density of 2.34 g/cm3.,,,,,Table 1 / Main Text,157.1609,2.0,1.0,0.0,0.6633,170.54,LITERATURE_REPORTED
P4_Row5_Sample_1,P4_Row5,Freeze-Drying-Assisted Preparation of High-Compaction-Density LiMn0.69C00.01Fe0.3PO4 Cathode Materials with High-Capacity and Long Life-Cycle for Lithium Ion Batteries,10.3390/batteries10040114,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.69Co0.01Fe0.3PO4/C (LMFP-550/C),,,0.69,0.3,Co,1,0.01,0.01,2.0,Solvothermal + Freeze Drying,550.0,4.0,,162.2,131.0,125.6,117.6,,,86.8,,,Intermediate calcination at 550 °C. Peak compaction density of 2.43 g/cm3.,,,,Table 1 / Main Text,157.1609,2.0,1.0,0.0,0.6633,170.54,LITERATURE_REPORTED
P5_Row1_Sample_1,P5_Row1,LiMn0.8Fe0.2PO4 as a promising cathode material in solid-state lithium batteries: Structural and electrical characterization,10.3897/j.moem.10.2.129169,2024,Advanced Energy Materials - 2012 - von Hagen - Electrospun LiFe1 yMnyPO4 C Nanofiber Composites as Self‐Supporting Cathodes.pdf,LiMn0.8Fe0.2PO4 (LM8F),,,0.8,0.2,None/Undoped,0,,,,High-Energy Ball Milling (HEBM),700.0,3.0,,,,,,,,Synthesized via mechanical milling. Pure crystalline framework verified.,,,,,,,Main Text / Fig. 2,157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P5_Row2_Sample_1,P5_Row2,LiMn0.8Fe0.2PO4 as a promising cathode material in solid-state lithium batteries: Structural and electrical characterization,10.3897/j.moem.10.2.129169,2024,Advanced Energy Materials - 2012 - von Hagen - Electrospun LiFe1 yMnyPO4 C Nanofiber Composites as Self‐Supporting Cathodes.pdf,LiMn0.8Fe0.2PO4/C (LM8F-10%C),,,0.8,0.2,None/Undoped,0,,,10.0,High-Energy Ball Milling (HEBM),700.0,3.0,,,,,,,10 wt% carbon composite variant. Boosts solid-state electronic conductivity.,,,,,,,,Main Text,157.0302,2.0,1.0,0.0,0.5004,170.68,LITERATURE_REPORTED
P6_T1_Row1_Sample_1,P6_T1_Row1,Recent advances of LiFe_yMn_1-yPO4 (0 < y < 1) cathode materials on performance optimization and sustainable preparation,10.20517/energymater.2024.37,2025,UNVERIFIED_PDF_NOT_FOUND,Li(Mn0.85Fe0.15)0.92Ti0.08PO4/C,,,0.85,0.15,Ti,1,0.08,0.08,,Solid-state,,,,,,99.9% retention after 50 cycles.,,,,,,,,,,,Table 1 / Ref [68],160.8142,2.32,0.68,0.32,0.6248,113.33,LITERATURE_REPORTED
P6_T1_Row2_Sample_1,P6_T1_Row2,Recent advances of LiFe_yMn_1-yPO4 (0 < y < 1) cathode materials on performance optimization and sustainable preparation,10.20517/energymater.2024.37,2025,UNVERIFIED_PDF_NOT_FOUND,LiMn0.9Fe0.09Mg0.01PO4/C,,,0.9,0.09,Mg,1,0.01,0.01,,Solid-state,,,,,,High manganese concentration stabilized with trace Mg.,,,,,,,,,,,Table 1 / Ref [76],156.6241,2.0,1.0,0.0,0.3576,171.12,LITERATURE_REPORTED
P6_T1_Row3_Sample_1,P6_T1_Row3,Recent advances of LiFe_yMn_1-yPO4 (0 < y < 1) cathode materials on performance optimization and sustainable preparation,10.20517/energymater.2024.37,2025,UNVERIFIED_PDF_NOT_FOUND,Li0.97Na0.03Mn0.8Fe0.2PO4/C,,,0.8,0.2,Na,1,0.03,0.03,,Solvothermal,,,,96.65% capacity retention after 200 cycles at 85 mA/g.,,,,,,,,,,,,,Table 1 / Ref [77],157.7199,2.03,0.97,0.03,0.6056,164.83,LITERATURE_REPORTED
P6_T1_Row4_Sample_1,P6_T1_Row4,Recent advances of LiFe_yMn_1-yPO4 (0 < y < 1) cathode materials on performance optimization and sustainable preparation,10.20517/energymater.2024.37,2025,UNVERIFIED_PDF_NOT_FOUND,Li0.97Mg0.015Mn0.8Fe0.2PO4/C,,,0.8,0.2,Mg,1,0.015,0.015,,Solvothermal approach,,,120.7,Delivers 120.7 mAh/g capacity sustained at high 10C rate.,,,,,,,,,,,,,Table 1 / Ref [74],157.3948,2.03,0.97,0.03,0.5634,165.17,LITERATURE_REPORTED
P6_T1_Row5_Sample_1,P6_T1_Row5,Recent advances of LiFe_yMn_1-yPO4 (0 < y < 1) cathode materials on performance optimization and sustainable preparation,10.20517/energymater.2024.37,2025,UNVERIFIED_PDF_NOT_FOUND,LiFe0.43Mn0.5Ca0.03PO4/C,,,0.5,0.43,Ca,1,0.03,0.03,,Solid-state,,,105.7,Calcium site supplementation expanding pathways; 105.7 mAh/g at 10C.,,,,,,,,,,,,,Table 1 / Ref [75],154.5955,1.92,1.08,-0.08,0.8147,187.23,LITERATURE_REPORTED
P7_Row1_Sample_1,P7_Row1,Interaction between LMFP and NCMA and Its Effect on Blending Cathode-Based Cells,10.3390/en17040808,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.7Fe0.3PO4/C Blend (10% LMFP),,,0.7,0.3,None/Undoped,0,,,,Commercial Solid-state,,,,145,,,,,100,Intermittent redox engagement,,,Evaluated as a blending element with NCMA (10:90).,,,,Main Text,157.1209,2.0,1.0,0.0,0.6109,170.58,LITERATURE_REPORTED
P7_Row2_Sample_1,P7_Row2,Interaction between LMFP and NCMA and Its Effect on Blending Cathode-Based Cells,10.3390/en17040808,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.7Fe0.3PO4/C Blend (20% LMFP),,,0.7,0.3,None/Undoped,0,,,,Commercial Solid-state,,,,138,,,,,100,NCMA charges continuously,,,Evaluated as a blending element with NCMA (20:80).,,,,Main Text,157.1209,2.0,1.0,0.0,0.6109,170.58,LITERATURE_REPORTED
P7_Row3_Sample_1,P7_Row3,Interaction between LMFP and NCMA and Its Effect on Blending Cathode-Based Cells,10.3390/en17040808,2024,UNVERIFIED_PDF_NOT_FOUND,LiMn0.7Fe0.3PO4/C Blend (30% LMFP),,,0.7,0.3,None/Undoped,0,,,,Commercial Solid-state,,,,131,,,,,100,Higher internal impedance,,,Evaluated as a blending element with NCMA (30:70).,,,,Main Text,157.1209,2.0,1.0,0.0,0.6109,170.58,LITERATURE_REPORTED
P8_Row1_Sample_1,P8_Row1,Olivine-Based Blended Compounds as Positive Electrodes for Lithium Batteries,10.3390/inorganics4020017,2016,UNVERIFIED_PDF_NOT_FOUND,LiMn0.66Fe0.33PO4/C Core-Shell Layered Blend,,,0.66,0.33,None/Undoped,0,,,,Sol-gel Buffer Deposition,600.0,4.0,,144,,,65.5,,50,98.0,,,LFP continuous buffer layer encapsulates the LMP core to catalyze uniform carbon network formation.,,,,Fig 3 / Fig 4,156.5987,1.98,1.02,-0.02,0.6401,174.57,LITERATURE_REPORTED
P8_Row2_Sample_1,P8_Row2,Olivine-Based Blended Compounds as Positive Electrodes for Lithium Batteries,10.3390/inorganics4020017,2016,UNVERIFIED_PDF_NOT_FOUND,LiMn0.66Fe0.33PO4/C Solid Solution Control,,,0.66,0.33,None/Undoped,0,,,,Standard Solid State,600.0,4.0,,122,,,41.0,,50,88.0,,,Standard solid solution control without core-shell buffering.,,,,Main Text,156.5987,1.98,1.02,-0.02,0.6401,174.57,LITERATURE_REPORTED
P9_Row1_Sample_1,P9_Row1,Toward the Commercialization of Lithium Manganese Iron Phosphate for Advanced High-Energy Lithium-Ion Batteries and Beyond,10.3390/batteries12030087,2026,Advanced Energy Materials - 2023 - Zhou - Direct Upcycling of Leached FePO4 from Spent Lithium‐Ion Batteries toward.pdf,LiMn0.1Fe0.9PO4/C,,,0.1,0.9,None/Undoped,0,,,2.0,Hydrothermal,400.0,2.0,,155,,,,,30,95.0,,,Low Mn substitution introduces local lattice distortion.,,,,Fig 1 / Fig 2,157.6651,2.0,1.0,0.0,0.3251,169.99,LITERATURE_REPORTED
P9_Row2_Sample_1,P9_Row2,Toward the Commercialization of Lithium Manganese Iron Phosphate for Advanced High-Energy Lithium-Ion Batteries and Beyond,10.3390/batteries12030087,2026,Advanced Energy Materials - 2023 - Zhou - Direct Upcycling of Leached FePO4 from Spent Lithium‐Ion Batteries toward.pdf,LiMn0.2Fe0.8PO4/C,,,0.2,0.8,None/Undoped,0,,,2.0,Hydrothermal,400.0,2.0,,158,,,,,30,97.2,,,Displays high purity phase homogeneity.,,,,Fig 1 / Fig 2,157.5744,2.0,1.0,0.0,0.5004,170.09,LITERATURE_REPORTED
P9_Row3_Sample_1,P9_Row3,Toward the Commercialization of Lithium Manganese Iron Phosphate for Advanced High-Energy Lithium-Ion Batteries and Beyond,10.3390/batteries12030087,2026,Advanced Energy Materials - 2023 - Zhou - Direct Upcycling of Leached FePO4 from Spent Lithium‐Ion Batteries toward.pdf,LiMn0.3Fe0.7PO4/C,,,0.3,0.7,None/Undoped,0,,,2.0,Hydrothermal,400.0,2.0,,140,,,,,30,98.5,,,Optimal performance row.,,,,Fig 1 / Fig 2,157.4837,2.0,1.0,0.0,0.6109,170.19,LITERATURE_REPORTED
P9_Row4_Sample_1,P9_Row4,Toward the Commercialization of Lithium Manganese Iron Phosphate for Advanced High-Energy Lithium-Ion Batteries and Beyond,10.3390/batteries12030087,2026,Advanced Energy Materials - 2023 - Zhou - Direct Upcycling of Leached FePO4 from Spent Lithium‐Ion Batteries toward.pdf,LiMn0.4Fe0.6PO4/C,,,0.4,0.6,None/Undoped,0,,,2.0,Hydrothermal,400.0,2.0,,132,,,,,30,88.0,,,Excessive Mn ratio initiates lattice strains.,,,,Fig 1,157.393,2.0,1.0,0.0,0.673,170.28,LITERATURE_REPORTED
P9_Row5_Sample_1,P9_Row5,Toward the Commercialization of Lithium Manganese Iron Phosphate for Advanced High-Energy Lithium-Ion Batteries and Beyond,10.3390/batteries12030087,2026,Advanced Energy Materials - 2023 - Zhou - Direct Upcycling of Leached FePO4 from Spent Lithium‐Ion Batteries toward.pdf,LiMg0.05Mn0.3Fe0.65PO4/C,,,0.3,0.65,Mg,1,0.05,0.05,2.0,Hydrothermal,400.0,2.0,,122,,,,,30,91.0,,,Mg co-doping enhances stability but leaves lower capacity.,,,,Main Text,155.9067,2.0,1.0,0.0,0.791,171.91,LITERATURE_REPORTED
P10_Row1_Sample_1,P10_Row1,Preparation and improvement electrochemical performance of Ni-Fe doped porous LiMnPO/C materials,10.1038/s41598-025-12971-y,2025,Batteries   Supercaps - 2024 - Zhang - Improved Electrochemical Performance of LiMn0 6Fe0 4PO4 via Chitosan‐Derived.pdf,LiMn0.85Fe0.075Ni0.075PO4/C-A,,,0.85,0.075,Ni,1,0.075,0.075,33.3,Co-precipitation,,,,45.9,,,2.0,,100,,,Co-precipitation reference with severe particle clotting.,,,,,Main Text / Fig 3,157.1985,2.0,1.0,-0.0,0.5267,170.49,LITERATURE_REPORTED
P10_Row2_Sample_1,P10_Row2,Preparation and improvement electrochemical performance of Ni-Fe doped porous LiMnPO/C materials,10.1038/s41598-025-12971-y,2025,Batteries   Supercaps - 2024 - Zhang - Improved Electrochemical Performance of LiMn0 6Fe0 4PO4 via Chitosan‐Derived.pdf,LiMn0.85Fe0.075Ni0.075PO4/C-B,,,0.85,0.075,Ni,1,0.075,0.075,33.3,Solvothermal,,,,117.9,,,4.7,,100,80.7,,Solvothermal framework provides clean rod morphologies reducing ion hop lengths.,,,,,Main Text / Fig 3,157.1985,2.0,1.0,-0.0,0.5267,170.49,LITERATURE_REPORTED
P10_Row3_Sample_1,P10_Row3,Preparation and improvement electrochemical performance of Ni-Fe doped porous LiMnPO/C materials,10.1038/s41598-025-12971-y,2025,Batteries   Supercaps - 2024 - Zhang - Improved Electrochemical Performance of LiMn0 6Fe0 4PO4 via Chitosan‐Derived.pdf,LiMn0.85Fe0.075Ni0.075PO4/C-C,,,0.85,0.075,Ni,1,0.075,0.075,33.3,Glucose-assisted Solvothermal,,,,121.4,,,53.7,,100,91.0,,Glucose auxiliary template induces a uniform pore grid.,,,,,Main Text / Fig 3 / Fig 6,157.1985,2.0,1.0,-0.0,0.5267,170.49,LITERATURE_REPORTED
P11_Row1_Sample_1,P11_Row1,Ammonia-free synthesis of lithium manganese iron phosphate cathodes via a co-precipitation reaction,10.1039/d4su00125g,2024,d4su00125g.pdf,LiMn0.4Fe0.6PO4/C (Ammonia-free),,,0.4,0.6,None/Undoped,0,,,3.5,Ammonia-free Co-precipitation,350.0,1.0,,155,,,,,150,95.5,,"Synthesized using stable, novel (Mn,Fe)5(PO4)2(HPO4)2*4H2O precursor template.",,,,,Main Text / Section 2.1,157.393,2.0,1.0,0.0,0.673,170.28,LITERATURE_REPORTED
P11_Row2_Sample_1,P11_Row2,Ammonia-free synthesis of lithium manganese iron phosphate cathodes via a co-precipitation reaction,10.1039/d4su00125g,2024,d4su00125g.pdf,LiMn0.6Fe0.4PO4/C (Ammonia-free),,,0.6,0.4,None/Undoped,0,,,3.5,Ammonia-free Co-precipitation,350.0,1.0,,140,,,,,150,95.0,,Higher Mn content (>60%) elevates average working voltage but suppresses rate properties.,,,,,Main Text,157.2116,2.0,1.0,0.0,0.673,170.48,LITERATURE_REPORTED
